code	title_sv	parent	depth	breadcrumb	table
HSD.1241	Flytande underslag på sand	HSD.124	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.12 Bjälklag, underslag, uppreglingar och undergolv > HSD.124 Underslag och uppreglingar > HSD.1241 Flytande underslag på sand	produktionsresultat
HSD.1242	Fasta reglar till undergolv eller golvkonstruktion av trä	HSD.124	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.12 Bjälklag, underslag, uppreglingar och undergolv > HSD.124 Underslag och uppreglingar > HSD.1242 Fasta reglar till undergolv eller golvkonstruktion av trä	produktionsresultat
HSD.1243	Fasta reglar till undergolv av skivor	HSD.124	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.12 Bjälklag, underslag, uppreglingar och undergolv > HSD.124 Underslag och uppreglingar > HSD.1243 Fasta reglar till undergolv av skivor	produktionsresultat
HSD.125	Konstruktioner av råspontade bräder i undergolv	HSD.12	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.12 Bjälklag, underslag, uppreglingar och undergolv > HSD.125 Konstruktioner av råspontade bräder i undergolv	produktionsresultat
HSD.1251	Konstruktioner av råspontade bräder i undergolv för tätskikt, golvmassa, fogplattor e d	HSD.125	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.12 Bjälklag, underslag, uppreglingar och undergolv > HSD.125 Konstruktioner av råspontade bräder i undergolv > HSD.1251 Konstruktioner av råspontade bräder i undergolv för tätskikt, golvmassa, fogplattor e d	produktionsresultat
HSD.1252	Konstruktioner av råspontade bräder i undergolv för parkett, mattor, plattor e d	HSD.125	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.12 Bjälklag, underslag, uppreglingar och undergolv > HSD.125 Konstruktioner av råspontade bräder i undergolv > HSD.1252 Konstruktioner av råspontade bräder i undergolv för parkett, mattor, plattor e d	produktionsresultat
HSD.13	Taklag, skärmtak och inbrädningar	HSD.1	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar	produktionsresultat
HSD.131	Taklag	HSD.13	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.131 Taklag	produktionsresultat
HSD.1311	Remstycken till taklag	HSD.131	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.131 Taklag > HSD.1311 Remstycken till taklag	produktionsresultat
HSD.1312	Fribärande takstolar	HSD.131	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.131 Taklag > HSD.1312 Fribärande takstolar	produktionsresultat
HSD.1313	Uppstolpade takstolar	HSD.131	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.131 Taklag > HSD.1313 Uppstolpade takstolar	produktionsresultat
HSD.1314	Åsar på underlag av trä	HSD.131	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.131 Taklag > HSD.1314 Åsar på underlag av trä	produktionsresultat
HSD.1315	Åsar på underlag av metall	HSD.131	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.131 Taklag > HSD.1315 Åsar på underlag av metall	produktionsresultat
HSD.1316	Åsar på underlag av betong, lättbetong e d	HSD.131	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.131 Taklag > HSD.1316 Åsar på underlag av betong, lättbetong e d	produktionsresultat
HSD.132	Stommar till skärmtak, entrétak e d	HSD.13	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.132 Stommar till skärmtak, entrétak e d	produktionsresultat
HSD.133	Inbrädningar o d till yttertak	HSD.13	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.133 Inbrädningar o d till yttertak	produktionsresultat
HSD.1331	Inbrädningar av råspontat virke till yttertak	HSD.133	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.133 Inbrädningar o d till yttertak > HSD.1331 Inbrädningar av råspontat virke till yttertak	produktionsresultat
HSD.1332	Inbrädningar av råspontat virke med synlig undersida till taksprång	HSD.133	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.133 Inbrädningar o d till yttertak > HSD.1332 Inbrädningar av råspontat virke med synlig undersida till taksprång	produktionsresultat
HSD.1333	Inbrädningar av ospontat virke till yttertak	HSD.133	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.133 Inbrädningar o d till yttertak > HSD.1333 Inbrädningar av ospontat virke till yttertak	produktionsresultat
HSD.1334	Inklädnader av träpanel till taksprång	HSD.133	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.133 Inbrädningar o d till yttertak > HSD.1334 Inklädnader av träpanel till taksprång	produktionsresultat
HSD.134	Inbrädningar till skärmtak, entrétak e d	HSD.13	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.134 Inbrädningar till skärmtak, entrétak e d	produktionsresultat
HSD.1341	Inbrädningar av råspontat virke till skärmtak, entrétak e d	HSD.134	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.134 Inbrädningar till skärmtak, entrétak e d > HSD.1341 Inbrädningar av råspontat virke till skärmtak, entrétak e d	produktionsresultat
HSD.1342	Inbrädningar av råspontat virke med synlig undersida till skärmtak, entrétak e d	HSD.134	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.13 Taklag, skärmtak och inbrädningar > HSD.134 Inbrädningar till skärmtak, entrétak e d > HSD.1342 Inbrädningar av råspontat virke med synlig undersida till skärmtak, entrétak e d	produktionsresultat
HSD.14	Kompletteringar av längdformvaror av furu eller gran till yttertak	HSD.1	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak	produktionsresultat
