code	title_sv	parent	depth	breadcrumb	table
64.CBB/1	Branddetekterings- och brandlarmsystem – automatiska brandlarmsystem	64.CBB	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBB Branddetekterings- och brandlarmsystem > 64.CBB/1 Branddetekterings- och brandlarmsystem – automatiska brandlarmsystem	byggdel
64.CBB/2	Branddetekterings- och brandlarmsystem – samplande system	64.CBB	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBB Branddetekterings- och brandlarmsystem > 64.CBB/2 Branddetekterings- och brandlarmsystem – samplande system	byggdel
64.CBB/21	Branddetekterings- och brandlarmsystem – samplande system med rökdetektorer	64.CBB/2	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBB Branddetekterings- och brandlarmsystem > 64.CBB/2 Branddetekterings- och brandlarmsystem – samplande system > 64.CBB/21 Branddetekterings- och brandlarmsystem – samplande system med rökdetektorer	byggdel
64.CBB/22	Branddetekterings- och brandlarmsystem – samplande system med högkänslighetsdetektorer	64.CBB/2	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBB Branddetekterings- och brandlarmsystem > 64.CBB/2 Branddetekterings- och brandlarmsystem – samplande system > 64.CBB/22 Branddetekterings- och brandlarmsystem – samplande system med högkänslighetsdetektorer	byggdel
64.CBB/3	Branddetekterings- och brandlarmsystem – linjevärmedetektorsystem	64.CBB	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBB Branddetekterings- och brandlarmsystem > 64.CBB/3 Branddetekterings- och brandlarmsystem – linjevärmedetektorsystem	byggdel
64.CBB/31	Branddetekterings- och brandlarmsystem – system med maximallinjevärmedetektor	64.CBB/3	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBB Branddetekterings- och brandlarmsystem > 64.CBB/3 Branddetekterings- och brandlarmsystem – linjevärmedetektorsystem > 64.CBB/31 Branddetekterings- och brandlarmsystem – system med maximallinjevärmedetektor	byggdel
64.CBB/32	Branddetekterings- och brandlarmsystem – system med differentiallinjevärmedetektor	64.CBB/3	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBB Branddetekterings- och brandlarmsystem > 64.CBB/3 Branddetekterings- och brandlarmsystem – linjevärmedetektorsystem > 64.CBB/32 Branddetekterings- och brandlarmsystem – system med differentiallinjevärmedetektor	byggdel
64.CBC	Gaslarmsystem	64.CB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBC Gaslarmsystem	byggdel
64.CBD	Vätskelarmsystem	64.CB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBD Vätskelarmsystem	byggdel
64.CBE	Inbrottslarmsystem och överfallslarmsystem	64.CB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBE Inbrottslarmsystem och överfallslarmsystem	byggdel
64.CBEB	Inbrottslarmsystem	64.CBE	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBE Inbrottslarmsystem och överfallslarmsystem > 64.CBEB Inbrottslarmsystem	byggdel
64.CBEC	Överfallslarmsystem	64.CBE	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBE Inbrottslarmsystem och överfallslarmsystem > 64.CBEC Överfallslarmsystem	byggdel
64.CBF	Områdeslarmsystem	64.CB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBF Områdeslarmsystem	byggdel
64.CBG	Utbrytningslarmsystem	64.CB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBG Utbrytningslarmsystem	byggdel
64.CBH	Nödsignalsystem	64.CB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBH Nödsignalsystem	byggdel
64.CBJ	Trygghetslarmsystem	64.CB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBJ Trygghetslarmsystem	byggdel
64.CBK	Utrymningslarmsystem	64.CB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CB Teletekniska larmsystem > 64.CBK Utrymningslarmsystem	byggdel
